abduct|לחטוף
malfunction|תפקוד לקוי;כשל בתפקוד
malnutrition|תת;תזונה
manage|לנהל;להסתדר
manager|מנהל;אמרגן;סוכן
mark|לסמן;סימן;אות;חותם
market|לשווק;שוק
master|להתמחות;להתמקצע;מומחה;אדון
masterpiece|יצירת מופת
match|להתאים;גפרור;יריב שקול;משחק;תחרות
material|חומר
materialize|להתגשם;להפוך לגשמי
matter|חומר;עניין
mature|בוגר
maturity|בגרות;בשלות;מועד פירעון
maze|מבוך
mean|להתכוון;ממוצע;אכזרי
meaning|משמעות
means|אמצעים;משאבים
measure|למדוד;מידה;אמת מידה;אמצעי
measurement|מדידה
mediate|לתווך
mediator|מתווך
medication|תרופה
medicine|תרופה;רפואה
medium|בינוני;אמצעי;מתקשר;מדיום
meet|להיפגש
meeting|פגישה
melt|להפוך לנוזל;להמיס;להתיך;נמס
memorization|שינון
memorize|לשנן
mention|לציין
mercifully|ברחמים
mercy|רחמים
merely|רק
merge|למזג;להתמזג
meticulous|קפדני;מדויק
migration|נדידה
mild|מתון;עדין
milestone|אבן דרך
mimic|לחקות;חקיין
mingle|לערב;למזג
minor|פעוט;קטן;חסר משמעות;קטין
minority|מיעוט
minute|דקה;מיניאטורי;זעיר
misconception|תפיסה מוטעית
misery|סבל;אומללות
mislead|להטעות;להוליך שולל
mistake|לשגות;להתבלבל;טעות
mistaken|מוטעה
mistakenly|בטעות;בשוגג;בהיסח הדעת
mobile|מובילי;נייד
moderate|מתון
moderation|מתינות;איפוק
modest|צנוע;מועט
modify|לשנות;להתאים
modulation|ויסות;כוונון
molecule|מולקולה
monetary|כספי
monitor|להשגיח;משגיח;צג
moratorium|דחייה
more|יותר
mortal|בן אנוש;קטלני
mortality|תמותה
moth|עש
motif|רעיון מרכזי;מוטיב
motion|תנועה
motivation|מוטיבציה;הנעה
mourn|להתאבל
move|להזיז;לרגש
mundane|יומיומי;שכיח;רגיל;ארצי
mural|ציור קיר
mutiny|מרד
mutual|הדדי
mysterious|מסקרן;מסתורי;שאינו ידוע
mystery|תעלומה;שאלה;חידה
naive|נאיבי;תמים
name|לכנות בשם;שם
namely|כלומר
narration|סיפור;נרטיב;קריינות
narrow|לצמצם;צר
nasal|חוטמי;שקשור לאף
native|מקומי;טבעי
natural|טבעי
navigate|לנווט;להכווין;להוביל;להדריך
navigation|ניווט;תכנון מסלול
near|קרוב;ליד
nearby|קרוב
nearly|כמעט;בקירוב
need|להזדקק למשהו;צורך;מצוקה
negative|שלילי;תשליל
neglect|להזניח;הזנחה
negligence|רשלנות;הזנחה
negotiation|משא ומתן
neighboring|שכן;בסמוך
never|אף פעם;מעולם לא
nobility|ייחוס;אצולה
nocturnal|לילי
nomination|מינוי;הגשת מועמדות
nominee|מועמד
nonetheless|אף על פי כן
not only... (but also)|לא רק
notably|באופן בולט;במיוחד
note|פתק;הערה לציין;להבחין
notebook|מחברת
notice|לשים לב;להבחין;הודעה;תזכורת
notion|מושג;רעיון
novel|רומן;נובלה;חדש
novelty|חידוש;קישוט קטן
nuisance|מטרד
nutrition|תזונה
obedience|ציות
obey|לציית;להישמע
object|להתנגד;אובייקט;פריט
objection|התנגדות
objective|מטרה;תכלית;אובייקטיבי
obscene|מגונה
obscure|להסתיר;מעורפל;לא ברור;קודר
observe|להתבונן;להבחין;לציין
obstacle|מכשול
obstinate|עקשן;נוקשה
obstruct|להפריע;לחסום;למנוע
obtain|להגיש;לקבל
obvious|ברור;מובן מאליו
obviously|ללא ספק;וודאי
occasion|מקרה;אירוע
occasional|מקרי;אקראי
occasionally|מדי פעם;לפעמים
occupation|עיסוק;מקצוע;כיבוש
occupy|ליישב;להעסיק;לכבוש
occur|להתרחש;לעלות על הדעת
occurrence|התרחשות;מאורע;מקרה
odor|ריח
offend|לפגוע;להעליב
offensive|מעליב;פוגעני;דוחה;התקפה
offer|להציע;לנדב;הצעה
official|רשמי;פקיד ציבור
often|בדרך כלל;לעתים קרובות
omission|השמטה
omit|להשמיט
once|פעם;פעם אחת
onset|התחלה;פתיחה;התקפה
opaque|אטום;עמום
open|לפתוח;פתוח
operate|לפעול;לנתח
operative|ביצועי;ניתוחי
opinion|דעה
opposing|מתנגד
opposite|הפוך;הפך;ממול;מנגד
opposition|התנגדות;אופוזיציה
oppress|לדכא;לייסר
oppression|דיכוי
optimisim|אופטימיות
option|אפשרות;אופציה
ordain|להסמיך;למנות
order|לתת פקודה;לפקוד;להזמין;הזמנה;סדר;מסדר;הוראה;פקודה
ordinarily|בדרך כלל
ordinary|רגיל
organization|ארגון
organize|לסדר;לארגן
orientation|מגמה;כיוון;אורינטציה;התמצאות
ornament|קישוט
ornamental|עיטורי;קישוטי
other|אחר;שונה
outbreak|התפרצות
outline|לתאר בכלליות;קו;מתאר
outstanding|יוצא מהכלל;יוצא דופן
over|מעל;יותר מדי;נגמר;הסתיים;במהלך
overlook|לצפות;להשקיף;להתעלם;להעלים עין
oversee|לפקח;להשגיח
overwhelm|להמם;להכניע
owing to|בשל;בגלל
pace|לקבוע קצב;לצעוד;קצב;צעד
pamper|לפנק;לטפח
paradoxically|באופן סותר
parallel|להקביל;מקביל
pardon|לסלוח;למחול;סליחה;חנינה
part|להיפרד;חלק;תפקיד
partial|חלקי;משוחד
participation|השתתפות
particular|מיוחד;מסוים;פריט;פרט
particularly|במיוחד;בפרט
pass|לעבור;לחלוף;מעבר
passage|מעבר;קטע קריאה
passion|תשוקה
passionate|נלהב;מלא תשוקה
path|נתיב;דרך;מסלול
patient|סבלני;מטופל
pause|להפסיק;הפסקה
payment|תשלום
peak|להגיע לשיא;פסגה;שיא
peer|עמית;שווה מעמד
pen|לכתוב;לכלוא;עט;דיר;מכלאה
penal|פלילי;של עונש
penalize|להעניש
penalty|עונש;קנס
penitence|חרטה;תשובה
people|אנשים;עם
perceive|לתפוס;להבחין
perfect|לשכלל;לשפר;מושלם
perform|להופיע;לבצע
performance|ביצוע;הופעה
performer|מבצע;אמן
period|תקופה;עונה;נקודה;וסת
permanent|קבוע
permanently|באופן קבוע;לצמיתות
permission|רשות
permit|להרשות;להתיר;היתר
perplexing|מבלבל
persecution|רדיפה
persist|להתמיד
persistent|עקשן;מתמיד
personal|אישי
personality|אישיות
persuade|לשכנע
persuasion|שכנוע;אמונה;כת
persuasively|באופן משכנע
pest|מטרד
pet|ללטף;לפנק;חיית מחמד
petition|עצומה;עתירה
pharmaceuticals|תרופות
phase|שלב
pick|לבחור;לקטוף
pinch|לצבוט;ללחוץ;גנב;קטף;קורטוב
pipe|צינור;מקטרת
pit|בור
place|למקם;לשים;מקום
plan|לתכנן;תכנית
plant|לשתול;צמח;מפעל
plantation|מטע
plausible|מתקבל על הדעת;סביר
pledge|להתחייב;הבטחה;התחייבות
poem|שיר
poet|משורר
poetry|שירה
polar|קוטבי
polarize|לקטב;להנגיד
policy|מדיניות
polite|מנומס
politely|בנימוס
political|פוליטי
politics|פוליטיקה
pollute|לזהם
pollution|זיהום
pool|בריכת שחייה;מאגר
poor|עני;עלוב;דל
poorly|בצורה גרועה
population|אוכלוסייה
populous|מיושב;מאוכלס
porous|מנוקב;מחורר
portion|חלק;מנה
pose|למקם;להעמיד פנים;תצורה;תנוחה;פוזה
position|עמדה;תפקיד
positive|חיובי;בטוח
possess|לכבוש;להשתלט
possession|בעלות;חזקה
possibility|אפשרות
possible|אפשרי
possibly|יתכן
potter|קדר
pottery|קדרות
pour|לשפוך;למזוג
power|כוח
powerful|חזק
practice|לתרגל;להתאמן;אימון;תרגול
praise|להלל;לשבח;שבח
precede|להקדים;לבוא לפני
preceding|קודם
precipitate|להאיץ;להטיל;לעבות;משקע
precise|מדויק
precision|דיוק
predator|טורף
predict|לחזות;לנבא
predictable|צפוי
prediction|תחזית;נבואה;ניבוי
predominate|לשלוט;להתבלט
preferable|מועדף
prejudice|דעה קדומה
premature|לפני זמנו;מוקדם מדי
preparation|הכנה
prerequisite|שנדרש מראש
prescribe|לרשום מרשם
prescription|מרשם
press|ללחוץ;עיתונות
prestigious|יוקרתי
pretend|להעמיד פנים
prevail|לשרוד;לגבור
prevent|למנוע
previous|הקודם
previously|קודם לכן;לפני כן
prey|טרף
pride|גאווה;יהירות
primarily|בעיקר
primary|ראשוני;עיקרי
print|להדפיס;טקסט כתוב;דפוס
prior|קודם
priority|עדיפות
private|פרטי;טוראי
privilege|זכות יתר;פריבילגיה
prize|להוקיר;להעריך;פרס
proceed|להמשיך;להתקדם
process|לעבד;תהליך
produce|לייצר;תוצרת
profession|מקצוע;הצהרה
proficient|מקצועי;מיומן
profit|להרוויח;רווח
profitable|רווחי;משתלם
profound|מעמיק;עמוק;נחרץ
profoundly|מעומק הלב;עמוקות
progress|להתקדם;התקדמות;קידמה
progressive|מתקדם;מדורג
projection|השלכה;הקרנה
prominence|חשיבות;התבלטות
prominent|בולט;חשוב
promise|להבטיח;הבטחה
promote|לקדם;להעלות
promotion|קידום
prompt|לעורר;להמריץ;מיידי
promptly|מיידית;ללא דיחוי
proof|הוכחה
proper|הולם;מתאים;תקין
properly|כיאות;היטב
property|רכוש;מאפיין;תכונה
prophecy|נבואה;חזון
prophet|נביא
proscribe|לגנות;להוקיע;לאסור;לשלול
prosper|לשגשג
prosperity|שגשוג
prosperous|משגשג;מצליח
protest|להפגין;למחות;מחאה;הפגנה
prove|להוכיח
provide|לספק;לכלכל
provided that|בתנאי ש
provincial|פרובינציאלי;קרתני;מחוזי;אזורי
provisions|אספקה;הוראות
provoke|לעורר;להתגרות;להסית
public|ציבורי
publish|לפרסם
punish|להעניש
punishment|עונש
purchase|לרכוש;רכישה
pure|טהור
purification|טיהור
push|לדחוף;דחיפה;תמריץ
quake|להרעיד;רעידה
qualifications|כישורים
quality|איכות;תכונה;מאפיין
quantify|לכמת
quantity|כמות;מידה
question|לתשאל;לפקפק;להטיל ספק;שאלה
quick|מהיר;זריז;חפוז
quickly|בזריזות
quit|להפסיק;לעצור;לעזוב;לצאת;לוותר;להתפטר
quite|לחלוטין;למדי
quote|לצטט;ציטוט
race|להתחרות;מרוץ;גזע;מין
racial|גזעני
racing|מתחרה
racism|גזענות
radiant|קורן;זוהר
radiation|קרינה
rage|לזעום;לכעוס;כעס
rail|מסילה;מעקה
rain|גשם
raise|להעלות;העלאה
random|אקראי
randomly|באופן אקראי
range|טווח
rapid|מהיר
rapidly|במהירות
rare|נדיר;נא
rarely|לעתים רחוקות
rate|להעריך;לדרג;קצב
reach|להגיע;להושיט יד
reason|היגיון;סיבה
reasonable|הגיוני
reassurance|הרגעה;עידוד
rebel|למרוד;מורד
rebellious|מרדני
receive|לקבל
recent|חדש
recently|לאחרונה
receptive|מסוגל להבין;לקלוט;לקבל במהירות
recipe|מרשם;מתכון
recipient|נמען
reciprocal|הדדי;הופכי
recline|לנוח;להישען
recognize|להכיר;לזהות
recover|להתאושש;להחלים;לקבל בחזרה
recruit|לגייס
recruitment|גיוס
reduce|לצמצם;להפחית
reef|שונית;ריף
refer|להפנות ל;להתייחס ל
reference|הפניה;המלצה
reflect|לשקף;להרהר
reflection|השתקפות;הרהור
reform|לתקן;להחזיר למוטב;תיקון;רפורמה
refuge|מקלט;מפלט
refugee|פליט
refund|החזר כספי
refuse|לסרב
regain|לזכות מחדש
regard|להתבונן;להחשיב;להתייחס
regardless|ללא התחשבות;למרות
regime|משטר
regret|להתחרט;חרטה
regrettable|מצער
regular|רגיל;סדיר
regulate|לווסת;להסדיר
rehabilitation|שיקום
rehearsal|חזרה;תרגול
rein|לרסן;לבלום;מושכות
reject|לדחות;משהו דחוי
rejoice|לשמוח;לעלוז;לעלוץ
relate|לספר;לתאר;לייחס;להתייחס
relations|יחסים
relationship|קשר;יחסים;מערכת יחסים
relative|קרוב משפחה;יחסי
relatively|באופן יחסי
release|לשחרר;לעזוב;לפרסם;להוציא לאור
reliable|אמין;מהימן
reliance|ביטחון;תלות
relief|הקלה
relieve|להרגיע;להקל;לסייע
reluctant|חסר חשק;חסר רצון;מסויג
remark|להבחין;להעיר;הערה
remarkable|ראוי לציון;יוצא דופן
remedy|לרפא;תרופה
renowned|ידוע;מפורסם
repetition|חזרה
reply|להשיב
report|לדווח;דיווח
repression|הדחקה;דיכוי
repressive|מדכא
reproduce|להתרבות;לשכפל
request|לבקש;בקשה
research|לחקור;מחקר
resemble|להידמות
resolution|החלטה;רזולוציה;כושר הפרדה
resolve|לפתור;נחישות;החלטיות
respect|לכבד;יחס;כבוד
respond|להגיב
response|תגובה
restore|לשחזר;להשיב על כנו
restrict|להגביל;לאסור על
restriction|מגבלה
result|תוצאה
retire|לפרוש
retirement|פרישה
review|לסקור;לכתוב ביקורת;סקירה
revise|לתקן;לשפר
revision|בדיקה מחדש
revolution|מהפכה
revolutionize|לחולל מהפך
ridicule|ללעוג
ridiculous|מגוחך
rigorous|קפדני;מדוקדק
rise|להתרומם;להזדקף;עלייה;להתעורר
ritual|פולחן
rival|יריב;מתחרה
rivalry|יריבות
roam|לשוטט;שוטטות
role|תפקיד
root|לעקור מהשורש;להשריש;שורש
round|סיבוב;עיגול;מעגלי
route|דרך;נתיב
routine|שגרה;שגרתי
rude|חצוף
rudely|בחוצפה
ruin|להרוס
ruins|הריסות;עתיקות
rumor|שמועה
rural|כפרי
sacred|מקודש;קדוש
safe|בטוח;כספת
sage|מרווה;חכם;משכיל
sail|להפליג;הפלגה;מפרש
salary|משכורת
sample|לדגום;דוגמה;מדגם
say|להגיד;אמרה
scale|להעלות;להעפיל;לשקול;למדוד;סולם;קנה מידה;משקל;מאזניים;קשקש
scarce|נדיר
scatter|לפזר
scene|סצנה;מערכה;זירת התרחשות;נוף
scenery|נוף;תפאורה
schedule|לקבוע;לוח זמנים
science|מדע
scientific|מדעי
scientist|מדען
scold|לנזוף
scope|לבחון;להעריך;טווח;היקף
scorch|לצרוב;צריבה
search|לחפש;חיפוש
season|לתבל;עונה
seat|להושיב;מושב;כסא;ישבן
seduction|פיתוי
seed|לזרוע;גרעין
seem|נראה;נדמה
seize|לתפוס;ללכוד;לאחוז
select|לבחור
send|לשלוח
sense|להרגיש;חוש;תחושה;היגיון
sensible|הגיוני
sensitive|רגיש
sequel|תוצאה;המשך
sequence|רצף;המשכיות
serious|רציני;חמור
service|לשרת;שירות;טקס;דרשה
session|ישיבה;מפגש
settle|ליישב
several|כמה;אחדים
severe|חמור;מחמיר
severely|אנושות;בצורה חמורה
shape|לעצב;כושר;צורה
share|לחלוק;לשתף;מנייה;חלק
shed|להשיל;להסיר;לשפוך;צריף
shelter|להגן;לגונן;מחסה
shield|להגן;מגן
shortage|מחסור
shortcoming|מגרעת;חיסרון
show|להראות;להציג;הצגה
shy|ביישן
sign|לחתום;סימן;שלט
signal|לסמן;לאותת;סימן
significance|חשיבות
significant|משמעותי;חשוב
similar|דומה
sincerely|בכנות
single|בודד;אחד;יחיד;רווק
site|לאתר;למקם;אתר;מיקום
skill|מיומנות
skin|עור
sky|שמיים
slander|להשמיץ;להכפיש;הכפשה
slant|לנטות;מדרון;שיפוע;קו נטוי;דעה קדומה
slavery|עבדות
slip|למעוד;להחליק;מעידה
slow|להאט;איטי
smooth|להחליק;להרגיע;חלק;עדין;שטוח
sober|פיכח;צלול;רגוע
soft|רך
softly|ברכות
soil|ללכלך;אדמה;קרקע;לכלוך
sole|יחיד
solely|רק;בלבד
solve|לפתור
sophisticated|מתוחכם
sophistication|מורכבות;תחכום
source|מקור;מוצא
space|לרווח;החלל החיצון;רווח;מרחב;מקום
spacecraft|חללית
special|מיוחד
specialize|להתמחות;להתמקצע
species|מינים;זנים
spend|להעביר;לבזבז
spill|לשפוך;להתיז;דליפה
split|לפצל;להתפצל;פיצול
spontaneously|לא מתוכנן
spread|להפיץ;להתפשט;פיזור
stabilize|לייצב
stable|יציב;אורווה
stack|לאסוף לערימה;ערימה
staff|צוות;סגל;מטה
stage|לביים;שלב;במה
stale|לא טרי;יבש;מעופש;מחניק
state|להצהיר;מדינה;מצב
station|להציב;למקם;תחנה
stem from|לנבוע מ
step|לצעוד;צעד;מדרגה
stiff|נוקשה;קשיח
stimulate|להמריץ
sting|לדקור;לעקוץ;עוקץ;עקיצה
stone|לסקול;אבן
strain|להתאמץ;מאמץ;צאצא;סיב
straw|קש
stress|להלחיץ;להדגיש;לחץ;דגש
strict|קפדן;נוקשה;מוחלט
strictly|בקפידה;בדיוק;בפירוש
stride|לצעוד;צעד;פסיעה
strike|להכות;לתקוף;לשבות;שביתה
strive|לשאוף;לחתור
structure|מבנה
struggle|להיאבק;מאבק
stubborn|עקשן
subject|להגיש;לחשוף;להכניע;נושא;נתין;אזרח
subjective|סובייקטיבי;אישי
submerge|להטביע;לכסות;לקבור;להחביא
submit|להגיש;למסור;להיכנע;לקבל מרות
subsequent|עוקב
substance|חומר
substitute|להחליף;תחליף
subtle|מעודן;דק;שנון;מתוחכם
success|הצלחה
successor|יורש;ממשיך דרכו
sudden|פתאומי
suffer|לסבול
suffering|סבל;ייסורים
sufficient|כמות מספקת;מספיק
summarize|לסכם
summary|תקציר;סיכום
summit|פסגה
superficial|שטחי
superfluous|מיותר;עודף
superior|עליון
supplant|להחליף;מזימה
supply|לספק;אספקה
support|לתמוך;תמיכה
supposedly|לכאורה
suppress|להפסיק;למנוע;להדחיק
surcharge|תשלום נוסף;מטען עודף
surface|לעלות;להגיח;משטח
surgery|ניתוח
surmount|לגבור;להתגבר על
surpass|להתעלות מעל
surprise|להפתיע;הפתעה
surrender|להיכנע
surround|להקיף;לכתר
surveillance|מעקב;פיקוח
survey|לסקור;סקר
survive|לשרוד
suspect|לחשוד;חשוד
suspicion|חשד
sustain|לתמוך;לסבול;לספוג;להשאיר;להמשיך
sustainability|קיימות
sustainable|בר קיימא
syllable|הברה
symmetry|סימטריה
sympathy|אהדה;סימפתיה
syndrome|תסמונת;סינדרום
synonym|מילה נרדפת
system|שיטה;מערכת
systematic|מערכתי;שיטתי
tail|לעקוב;זנב;החלק האחורי
taint|לפגום;להכתים;לזהם;פגם;זיהום
tall|גבוה
tangible|מוחשי;ברור
target|מטרה
taste|לטעום;טעם
tax|מס
teach|ללמד
team|לצוות לקבוצה;צוות
technological|טכנולוגי
technology|טכנולוגיה
teem|לשרוץ
temporary|זמני
tempt|לפתות
tend|לנטות;לטפל;להוליך
tendency|נטייה;מגמה;העדפה
tender|עדין
tense|מתוח;לחוץ;זמן
tension|מתח
terminate|לסיים
terrible|נורא;איום
terrify|להפחיד
terrifying|מבעית
test|לבחון;מבחן
thaw|להפשיר
theme|נושא;מוטיב חוזר
then|כאשר;אז
therapy|תרפיה;טיפול
think|לחשוב
threat|לאיים;איום
throughout|מקצה ועד קצה;לגמרי;כולו
thrust|לדחוף;לנעוץ;דחיפה
tidy|לסדר;מסודר;מאורגן;גדול יחסית
timid|ביישן
toad|קרפדה
tolerance|סובלנות
tolerate|להיות סובלני
tomb|קבר
topic|נושא;תחום
torment|לענות;לייסר;סבל
torture|לענות;עינוי
total|סך;סכום;שלם
totally|לגמרי
toxic|רעיל
trace|לעקוב;עקבה;סימן
track|לעקוב;לאתר;נתיב;מסלול;ערוץ
trade|לסחור;מסחר
tradition|מסורת
train|לאמן;רכבת
training|אימון;תרגול;כושר;מיומנות
transaction|עסקה;מגעים;העברה
transfer|להעביר;העברה
transform|להפוך;לשנות צורה
transition|מעבר;שינוי
translate|לתרגם
translation|תרגום
transparency|שקיפות
transparent|שקוף
transplant|להשתיל;השתלה
transport|להעביר
transportation|אמצעי תחבורה
trap|ללכוד;מלכודת
treason|בגידה
treat|לטפל;פינוק;כיבוד
tremble|לרעוד;לשקשק;לפחד
tremendous|עצום;כביר
trend|כיוון;מגמה;סגנון;טרנד
trial|משפט;ניסיון;צרה
tribe|שבט
trigger|להפעיל;להתניע;הדק;גורם התחלתי
triumph|לנצח;ניצחון
trust|לבטוח;לקוות;להפקיד;ביטחון;אמון;נאמנות
turn|לסובב;סיבוב;תור;הזדמנות
twist|לפתל;לעוות;תסבוכת;תפנית;פיתול;שזירה
type|סוג
ultimately|בסופו של דבר
unattractive|לא מושך
unavoidable|בלתי נמנע
unbelievable|לא ייאמן
under|מתחת
undergo|לחוות;להתנסות
underline|להדגיש בקו
undermine|לחתור תחת;לערער
understand|להבין
understandable|מובן
undertake|ליטול על עצמו;להבטיח
unearth|לחשוף
unfortunate|אומלל;חסר מזל;מצער
uniform|אחיד;מדים
uniformity|אחידות
union|איחוד;איגוד
unit|יחידה
unknown|לא ידוע;שטרם התגלה;נעלם
unlock|לשחרר;לפתוח
unofficial|בלתי רשמי
unreasonable|לא הגיוני
unreliable|לא מהימן
unsatisfied|שאינו מסופק
unstable|לא יציב
unusual|לא רגיל
upgrade|לשדרג
upheaval|מהפך;תהפוכות
urge|לדחוק ב;דחף
urgency|דחיפות;בהילות
urgent|דחוף
use|להשתמש;שימוש;תועלת;מטרה
usefulness|שימושיות
usual|רגיל;שגרתי
usually|בדרך כלל;לרוב
vacation|חופשה
valid|בר תוקף
valuable|בעל ערך;יקר ערך;חפץ יקר ערך
value|להוקיר;להעריך;ערך
vanquish|להעלים;להביס
variable|משתנה
variety|מגון;מבחר
vast|רחב
ventilation|אורור
venture|להסתכן;סיכון
verify|לאמת;לוודא
version|גרסה
veteran|יוצא צבא
vicious|מרושע;אכזרי
victory|ניצחון
view|לראות;דעה;נוף
vigilance|ערנות;דריכות;נדודי שינה
violate|להפר
violence|אלימות
viscera|מעיים
visibility|נראות
vital|חיוני;נחוץ;נמרץ
vivacious|מלא חיים;נמרץ
vivid|חד;בהיר;מלא חיים
voice|להביע;לבטא;קול
volcano|הר געש
volunteer|להתנדב;מתנדב
vote|להצביע;הצבעה
vulnerable|פגיע
wage|לנהל;לערוך;שכר;משכורת
waste|לבזבז;פסולת
wasteful|בזבזני
wave|לנפנף;נפנוף;גל
weather|מזג אוויר
weave|לארוג;לרקום
weight|משקל
welfare|רווחה
whale|להכות;לוויתן
when|מתי;כאשר
whereas|בעוד ש
wickedly|ברשעות;בזדון
wield|להשתמש
wilderness|שממה;ערבה
wind|לעקל;ללפף;רוח
windmill|טחנת רוח
wine|יין
withdraw|לסגת
withdrawal|נסיגה
withhold|למנוע מ
within|בתוך
without|ללא;בלי
withstand|לעמוד ב
witness|עד ראייה
witty|שנון;חד;מפולפל
wood|יער;עץ
wool|צמר
work|לעבוד;עבודה
worthy of|ראוי ל
wrap|לעטוף;לכרוך;לארוז;עטיפה
wreck|להרוס;הרס
wreckage|שריד;הרס;חורבן
wrestle|להיאבק;להתגושש
write|לכתוב
writer|כותב;מחבר
yet|עדיין;אף על פי כן
yield|להניב;להפיק;להיכנע;לסגת
zero|לאפס;אפס;אפסי
zone|אזור
