אדן|בסיס, יסוד
מטרונה|גברת מכובדת
מלבר|מבחוץ
מעושה|לא אמיתי, לא טבעי, מזויף, מלאכותי
מצולה|עומק, מעמקים
מרושל|לא מסודר ולא מוקפד בהופעה או בהתנהגות
משכית|קישוט, תכשיט
נא|מבושל למחצה; מילת נימוס לבקשה
נגה|זרח, הפיץ אור, האיר
נהיר|ברור
נזיד|תבשיל
נחתום|אופה
נימה|חוט, שערה; האופן שבו דברים נאמרים
נס|ברח, נמלט
ניצת|נדלק, התלקח, התחיל לבעור
נישל|עקר, הרחיק, גירש אדם מאדמתו
סיגל|שינה והכשיר משהו כך שיתאים לנסיבות חדשות
סייג|גדר, הגבלה
סנט|הקניט, לגלג, קנטר
עבוט|משכון
עזוז|עוז, כוח, גבורה
עמית|חבר למקצוע, אדם שעובדים איתו; חבר, ידיד
עקלתון|מעוקל, מתפתל
פומית|פייה
פיקח|שאינו עיוור; חכם ונבון
פלצות|חיל, רעדה, זעזוע
פרכס|איפר, ייפה, קישט וגנדר; פרפר, נתקף עוויתות
צג|מסך מחשב או טלוויזיה, אקרן
צותת|האזין בסתר לדבריהם של אחרים
צמיג|דביק
קורט|גרגר קטן, חלק קטן ממשהו, קמצוץ
קמין|תנור, אח
קצף|כעס, חימה
רבב|כתם, פגם
רווח|היה מקובל או נפוץ ברבים, היה שכיח
רקח|הכין תערובת של בשמים או חומרים רפואיים; המציא, זמם
שבריר|שבר קטן, רסיס
שיסף|חתך לעומק בעזרת מכשיר חד
שרירות|עיקשות, ללא היגיון אובייקטיבי
תגר|התגרות, ריב
תזזית|טירוף, שיגעון
תנה|סיפר, תיאר באוזני מישהו; השמיע דברי אבל, ספד
אגל|רסיס, טיפה
אח|תנור, קמין
אכיפה|כפייה, השלטה של חוק
אמתחת|סל, שק גדול
אץ|מיהר, נחפז
אישש|חיזק, תמך וביסס טענה או תיאוריה
בדימוס|שהשתחרר מתפקידו, פרש
בלוי|מרופט
גבן|אדם העוסק בייצור גבינות
גז|פעולת גזירת הצמר מכבשים
גלען|הוציא את הגלעין מתוך הפרי
גרס|היה סבור, הייתה לו עמדה או דעה מסוימת
דגן|תבואת השדה
דיוטה|קומה בבית
הבט|אחת מכמה דרכים אפשריות לראות משהו ולהתייחס אליו
הזדמן|הגיע למקום במקרה, נקרה או נקלע אליו בלי תכנון
הלם|התאים; הכה, חבט
הס|מילת קריאה לבקשת שקט
הצניע|הניח או שם דבר במקום שבו לא יבלוט לעין
השתעבד|נתון בתנאים של שעבוד או עבדות
התבצר|התארגן במקום מוגן מפני התקפה; דבק בעמדתו
התמר|עלה לגובה
התקומם|התעורר למרד; התייצב נגד, יצא במחאה
זב|נטף, נזל
זע|זז, נע
חומרני|שמאופיין ברדיפה אחר ערכים חומריים, מטריאליסטי
חציצה|הפרדה, מחיצה
חש|הרגיש, תפס או קלט בחוש; מיהר, הזדרז
טרף|ערבב, בלבל, בחש במהירות
כבשן|תנור גדול
כלימה|בושה, חרפה
כפיס|גזר עץ, חתיכת עץ
לאלתר|מיד, תיכף
מאס|שנא, תיעב, בז, שקץ
מהדר|קפדן, דקדקן
מופת|נס
מוחשל|מעוצב, מחוסן, מגובש, שקשה לערער אותו
מיחל|שמחכים לו בכיליון עיניים, מקווה, מצופה
מלגו|מבפנים
מנחת|מקום לנחיתת כלי טיס
מעשייה|סיפור קצר, בדרך כלל דמיוני
מצוק|סלע זקוף וגבוה המתרומם בצורה אנכית
משל|כאילו, כביכול
נאד|שק של עור להחזקת נוזלים
נגוע|שנושא עליו נגיפים של מחלה מסוימת
נהנתן|רודף הנאות, הדוניסט
נזם|תכשיט לאף
ניצב|ידית של מכשיר חד, קת; עומד
נתז|רסיס
סגולה|תכונה או מידה חיובית, מעלה
סייח|בן סוס, סוס צעיר
סעד|הגיש למישהו טיפול, דאג לרווחתו; אכל
עבות|חבל עבה, כבל; ענף עבה
עטור|מעוטר, מקושט
ענבל|לשון הפעמון
עקר|שאינו מסוגל להוליד צאצאים; חסר טעם או תועלת
עשק|ניצל מישהו, שלל ממנו את מה ששייך לו
פיר|גומה, חפירה בקרקע; החלל במבנה שבתוכו נעה המעלית
פנכה|קערה, צלחת
פרם|התיר תפר בבגד או בבד
צידד|תמך, נטה לטובת אחד הצדדים
צח|זך, טהור, נקי
צמית|עבד, אדם המשועבד לעולם
צרימה|צביטה, הכאה; אי התאמה בקולות
קורטוב|מידה קטנה, שמץ
רביד|ענק, תכשיט לצוואר; מטפחת לצוואר
רומח|כלי נשק קדום, מוט ובקצהו חוד ממתכת
רכיב|מרכיב, חלק משלם
רקיק|עוגייה, ביסקוויט
שגגה|טעות שלא בכוונה תחילה
שחר|פשר, מובן; דמדומי בוקר
שעה|שם לב, התייחס, נתן את דעתו
שרלטן|נוכל, אדם המתחזה למומחה
תגרן|סוחר, כינוי למי שמרבה להתמקח
תחבולה|תכסיס, מזימה, שימוש בעורמה
תנוך|החלק התחתון של האוזן
תר|סייר, חיפש, ריגל
אדווה|גלים קטנים
איחה|חיבר יחד על ידי תפירה, איחד, עשה לאחד
אכל|כילה, שרף
אמתלה|תירוץ או הסבר דחוק למעשה לא נאה
אצבעון|כיסוי קטן שמים על האצבע בשעת התפירה
אשתקד|בשנה שעברה, בשנה הקודמת
בדיעבד|לאחר מעשה
בזק|פיזר או זרה קמח, סוכר, מלח או תבלינים על מאכל
בליל|תערובת
גדה|שפה של נהר, רצועת יבשה לאורך נהר
גמא|גמע, בלע; עבר מרחק מסוים במהירות
גשמי|חומרי, פיזי, גופני
דידה|דילג בעיקר על רגל אחת; הלך הליכה לא בטוחה
דל|מועט, עלוב, חסר ערך; עני, אביון
הבל|שטות; אד העולה מן הפה או מנוזל רותח
החיש|האיץ, זירז
היפוכונדר|אדם שסובר שהוא חולה על אף שאין זה כך
הסב|הפנה או היטה הצידה, סובב לכיוון אחר; שינה, המיר
הצפין|הסתיר, החביא; נע לכיוון צפון
השביח|שיפר, היטיב, גרם לשינוי לטובה
השתקע|קבע את מגוריו במקום מסוים; התרכז כולו בעניין מסוים
התגושש|נאבק במישהו בידיו, התכתש איתו
התנזר|נמנע מהנאות החיים, בעיקר מן ההנאות הגופניות
התקין|הציב מתקן כך שאפשר להשתמש בו; קבע תקנה, חוקק
זבן|מוכר בחנות
זעום|מועט ביותר
חיוורון|לובן שאינו הצבע הבריא של העור, חוסר צבע
חמה|כעס
חרה|הרגיז והכעיס אותו, קומם אותו, פגע בו
חת|פחד, יראה
טרשים|שטח סלעי הקשה בדרך כלל לעיבוד חקלאי
ישועה|עזרה בצרה
כורה|חופר בור; האדם העובד במכרה
כמה|חש כמיהה וגעגועים עזים, השתוקק, ערג
כפר|הכחיש אשמה שיוחסה לו או לאחר
למותר|מיותר, לא הכרחי
לפף|סובב דבר מה סביב דבר אחר
מבואר|מוסבר, מפורש, שניתן לו ביאור
מיגר|הנחיל מפלה, הכניע אויב, השמיד
מוקד|מדורה; פוקוס; מרכז, עיקר, יסוד
מלטשה|בית מלאכה לליטוש
מסג|תערובת של מתכות
מפאת|בגלל, מפני, בשל
מש|נע, זז ממקומו
נאור|משכיל, בעל השכלה
נגיף|וירוס
נהר|על המון אדם: זרם בצורה מסיבית למקום; על פנים: זהר, נצץ
נזר|כתר
נטמע|נקלט בחברה מסוימת והפך חלק ממנה, נספג
נכחד|נידח, חרב, עזוב; נגמר, אבד
נסך|יצק יין או נוזל אחר במסגרת פולחן דתי; השרה תחושה
נקלה|בזוי, נחות, קל ערך
נתיב|שביל, דרך
סגפן|מתענה, מונע מגופו את הדרוש לו
סיפון|המשטח העליון בכלי שיט שאפשר להלך עליו
ספון|צפון, טמון, נסתר; מקורה, מכוסה בתקרה
עגלון|מי שנוהג בעגלה רתומה לסוס או לחמור
עידית|אדמה טובה ומשובחת; סחורה משובחת
עלווה|כלל העלים בשיח או בעץ
ענו|צנוע, שאין בו גאווה או יהירות
ערב|המון, קהל מעורב
עששית|מנורת נפט
פורתא|מעט, קצת
פירוז|הכרזה על מקום שאין לכבשו או להחזיק בו צבא
פסח|דילג על משהו, עבר עליו בלי לגעת בו
פרנואיד|חש עצמו נרדף
צדודית|מראה פניו של אדם מן הצד, פרופיל
צחור|לבן
צמרירי|שדומה קצת לצמר
קורנס|פטיש כבד
קלון|ביזיון, חרפה
קניין|רכוש
קרדום|גרזן; מכשיר חפירה
רגב|גוש עפר
רוצץ|שבר לרסיסים, ניפץ, ריסק
רכן|התכופף
רש|עני, דל, אביון
שגור|רגיל, רהוט, שוטף ומהיר
שחת|בור, שוחה; מספוא לבהמות
שעט|התקדם במהירות, רץ
שרעף|מחשבה, הרהור
תדיר|קורה לעיתים קרובות, בתדירות גבוהה
תיחח|פורר רגבי אדמה
תסכית|יצירה כתובה שעובדה לשידור ברדיו
תרווד|כף גדולה לבחישת תבשילים
